Source;Target;Combined;Inserts;Deletes;Grammar
külastama;külastasin;külastDEL(am)aINS(s)INS(i)INS(n);INS(s),INS(i),INS(n);DEL(am);V,ACT,PST,POS,IND,1,SG
papagoi;papagoidele;papagoiINS(d)INS(e)INS(l)INS(e);INS(d),INS(e),INS(l),INS(e);;N,AT+ALL,PL
järjehoidja;järjehoidjateks;järjehoidjaINS(t)INS(e)INS(k)INS(s);INS(t),INS(e),INS(k),INS(s);;N,TRANS,PL
türklane;türklased;türklaDEL(n)INS(s)eINS(d);INS(s),INS(d);DEL(n);N,NOM,PL
mustikas;mustikatelt;mustikaDEL(s)INS(t)INS(e)INS(l)INS(t);INS(t),INS(e),INS(l),INS(t);DEL(s);N,AT+ABL,PL
panema;panen;paneDEL(ma)INS(n);INS(n);DEL(ma);V,ACT,PRS,POS,IND,1,SG
tuba;tubadena;tubINS(a)INS(d)INS(e)INS(n)a;INS(a),INS(d),INS(e),INS(n);;N,FRML,PL
trofee;trofeedeks;trofeeINS(d)INS(e)INS(k)INS(s);INS(d),INS(e),INS(k),INS(s);;N,TRANS,PL
harjutus;harjutusel;harjutusINS(e)INS(l);INS(e),INS(l);;N,AT+ESS,SG
fallos;falloses;falloINS(s)INS(e)s;INS(s),INS(e);;N,IN+ESS,SG
välde;vältes;välDEL(d)INS(t)eINS(s);INS(t),INS(s);DEL(d);N,IN+ESS,SG
türklane;türklaseni;türklaINS(s)INS(e)nDEL(e)INS(i);INS(s),INS(e),INS(i);DEL(e);N,TERM,SG
langema;langetav;langeDEL(m)INS(t)aINS(v);INS(t),INS(v);DEL(m);V.PTCP,PASS,PRS
poro;porodeks;poroINS(d)INS(e)INS(k)INS(s);INS(d),INS(e),INS(k),INS(s);;N,TRANS,PL
rääkima;olid rääkinud;INS(o)INS(l)INS(i)INS(d)INS( )rääkiDEL(ma)INS(nud);INS(o),INS(l),INS(i),INS(d),INS( ),INS(nud);DEL(ma);V,ACT,PRS,PRF,POS,COND,2,SG
nülgima;ei nülitaks;INS(ei )nülDEL(g)iDEL(m)INS(t)aINS(ks);INS(ei ),INS(t),INS(ks);DEL(g),DEL(m);V,PASS,PRS,NEG,COND
