Original;Split
INS(sca);INS(s),INS(c),INS(a)
INS(ente);INS(e),INS(n),INS(t),INS(e)
INS(ra);INS(r),INS(a)
INS(vate);INS(v),INS(a),INS(t),INS(e)
INS(h);INS(h)
INS(tis);INS(t),INS(i),INS(s)
INS(iamo);INS(i),INS(a),INS(m),INS(o)
INS(v);INS(v)
INS(a);INS(a)
INS(herò);INS(h),INS(e),INS(r),INS(ò)
INS(rò);INS(r),INS(ò)
INS(cano);INS(c),INS(a),INS(n),INS(o)
INS(nte);INS(n),INS(t),INS(e)
INS(rai);INS(r),INS(a),INS(i)
INS(hi);INS(h),INS(i)
INS(erà);INS(e),INS(r),INS(à)
INS(isc);INS(i),INS(s),INS(c)
INS(scono);INS(s),INS(c),INS(o),INS(n),INS(o)
INS(erebbero);INS(e),INS(r),INS(e),INS(b),INS(b),INS(e),INS(r),INS(o)
INS(rebbe);INS(r),INS(e),INS(b),INS(b),INS(e)
INS(erete);INS(e),INS(r),INS(e),INS(t),INS(e)
INS(tev);INS(t),INS(e),INS(v)
INS(her);INS(h),INS(e),INS(r)
INS(nno);INS(n),INS(no)
INS(ent);INS(e),INS(n),INS(t)
INS(eranno);INS(e),INS(r),INS(a),INS(n),INS(n),INS(o)
INS(at);INS(a),INS(t)
INS(ga);INS(g),INS(a)
INS(rebbero);INS(r),INS(e),INS(b),INS(b),INS(e),INS(r),INS(o)
INS(iat);INS(i),INS(a),INS(t)
INS(ano);INS(a),INS(n),INS(o)
INS(sco);INS(s),INS(c),INS(o)
INS(tia);INS(t),INS(i),INS(a)
INS(cciamo);INS(c),INS(c),INS(i),INS(a),INS(m),INS(o)
INS(ere);INS(e),INS(r),INS(e)
INS(gono);INS(g),INS(o),INS(n),INS(o)
INS(moc);INS(m),INS(o),INS(c)
INS(ebbero);INS(e),INS(b),INS(b),INS(e),INS(r),INS(o)
INS(emo);INS(e),INS(m),INS(o)
INS(la );INS(l),INS(a),INS( )
INS(neste);INS(n),INS(e),INS(s),INS(t),INS(e)
INS(à);INS(à)
INS(eremo);INS(e),INS(r),INS(e),INS(m),INS(o)
INS(anno);INS(a),INS(n),INS(n),INS(o)
INS(ndo);INS(n),INS(d),INS(o)
INS(nevat);INS(n),INS(e),INS(v),INS(a),INS(t)
INS(ggo);INS(g),INS(g),INS(o)
INS(se);INS(s),INS(e)
INS(iss);INS(i),INS(s),INS(s)
INS(ecero);INS(e),INS(c),INS(e),INS(r),INS(o)
INS(remo);INS(r),INS(e),INS(m),INS(o)
INS(ve la );INS(v),INS(e),INS( ),INS(l),INS(a),INS( )
INS(erebbe);INS(e),INS(r),INS(e),INS(b),INS(b),INS(e)
INS(ce);INS(c),INS(e)
INS(amoc);INS(a),INS(m),INS(o),INS(c)
INS(hino);INS(h),INS(i),INS(n),INS(o)
INS(uto);INS(u),INS(t),INS(o)
INS(va);INS(v),INS(a)
INS(so);INS(s),INS(o)
INS(ai);INS(a),INS(i)
INS(heremmo);INS(h),INS(e),INS(r),INS(e),INS(m),INS(m),INS(o)
INS(nto);INS(n),INS(t),INS(o)
INS(é);INS(é)
INS(ate);INS(a),INS(t),INS(e)
INS(n);INS(n)
INS(cess);INS(c),INS(e),INS(s),INS(s)
INS(ett);INS(e),INS(t),INS(t)
INS(ì);INS(ì)
INS(era);INS(e),INS(r),INS(a)
INS(iv);INS(i),INS(v)
INS(agg);INS(a),INS(g),INS(g)
INS(ca);INS(c),INS(a)
INS(ist);INS(i),INS(s),INS(t)
INS(ereste);INS(e),INS(r),INS(e),INS(s),INS(t),INS(e)
INS(emmo);INS(e),INS(m),INS(m),INS(o)
INS(c);INS(c)
INS(erò);INS(e),INS(r),INS(ò)
INS(er);INS(e),INS(r)
INS(co);INS(c),INS(o)
INS(ete);INS(e),INS(t),INS(e)
INS(r);INS(r)
INS(ong);INS(o),INS(n),INS(g)
INS(ess);INS(e),INS(s),INS(s)
INS(heremo);INS(h),INS(e),INS(r),INS(e),INS(m),INS(o)
DEL(ia);DEL(i),DEL(a)
DEL(ir);DEL(i),DEL(r)
DEL(le);DEL(l),DEL(e)
DEL(s);DEL(s)
DEL(rr);DEL(r),DEL(r)
DEL(ersi);DEL(e),DEL(rsi)
DEL(iars);DEL(i),DEL(ars)
DEL(ra);DEL(r),DEL(a)
DEL(iar);DEL(i),DEL(ar)
DEL(iarsi);DEL(i),DEL(a),DEL(r),DEL(s),DEL(i)
DEL(iers);DEL(i),DEL(e),DEL(r),DEL(s)
DEL(ers);DEL(e),DEL(rs)
DEL(irsi);DEL(i),DEL(rsi)
DEL(rl);DEL(r),DEL(l)
DEL(vere);DEL(v),DEL(e),DEL(r),DEL(e)
DEL(la);DEL(l),DEL(a)
DEL(der);DEL(d),DEL(e),DEL(r)
DEL(irs);DEL(i),DEL(rs)
DEL(ver);DEL(v),DEL(e),DEL(r)
DEL(rende);DEL(r),DEL(e),DEL(n),DEL(d),DEL(e)
DEL(mere);DEL(m),DEL(ere)
DEL(g);DEL(g)
DEL(ire);DEL(i),DEL(r),DEL(e)
DEL(rre);DEL(r),DEL(re)
DEL(u);DEL(u)
DEL(ni);DEL(n),DEL(i)
